element,selector,route,lifecycle_state,viewport,role,text_size,font_size_px,fg_rgb,bg_rgb,contrast_ratio,wcag_aa_required,wcag_aa_pass,target_w_px,target_h_px,target_size_pass
identity-name,.bh-identity-name,/,Pale Blue Dot,1440x900,text,large,20,"rgb(223,229,236)","rgb(30,32,34)",12.89,3.0,PASS,N/A,N/A,N/A
identity-role,.bh-identity-role,/,Pale Blue Dot,1440x900,text,small,11,"rgb(141,133,121)","rgb(49,47,43)",3.67,4.5,FAIL,N/A,N/A,N/A
manifesto-headline,.bh-beat-line,/,Pale Blue Dot,1440x900,heading,large,64,"rgb(223,229,236)","rgb(223,229,236)",1.00,3.0,FAIL,N/A,N/A,N/A
manifesto-whisper,.bh-beat-whisper,/,Pale Blue Dot,1440x900,text,body,14,"rgb(223,229,236)","rgb(3,4,5)",16.18,4.5,PASS,N/A,N/A,N/A
scene-nav-label,.overlay-blog-label,/,Pale Blue Dot,1440x900,text,small,13,"rgb(150,145,138)","rgb(14,13,15)",6.20,4.5,PASS,N/A,N/A,N/A
scene-nav-link,.overlay-blog-link,/,Pale Blue Dot,1440x900,interactive,small,17,"rgb(150,145,138)","rgb(14,13,15)",6.20,3.0,PASS,83,19,FAIL
hud-power-btn,.overlay-blog-power,/,Pale Blue Dot,1440x900,button,n/a,13,"rgb(189,181,170)","rgb(6,6,5)",9.99,3.0,PASS,34,34,FAIL
compass-label,.hud-compass-label,/,Pale Blue Dot,1440x900,text,small,17,"rgb(178,170,157)","rgb(33,31,30)",7.14,4.5,PASS,N/A,N/A,N/A
page-h1,h1,/writing/,n/a,1440x900,heading,large,64,"rgb(216,208,195)","rgb(7,6,5)",13.24,3.0,PASS,N/A,N/A,N/A
page-h2,h2,/writing/,n/a,1440x900,heading,large,11,"rgb(169,175,180)","rgb(11,10,10)",8.92,3.0,PASS,N/A,N/A,N/A
subnav-link,.subnav-link,/writing/,n/a,1440x900,interactive,small,13,"rgb(169,175,180)","rgb(9,6,5)",9.11,3.0,PASS,107,29,FAIL
subnav-label,.subnav-label,/writing/,n/a,1440x900,text,small,13,"rgb(169,175,180)","rgb(9,6,5)",9.11,4.5,PASS,N/A,N/A,N/A
page-button,button,/writing/,n/a,1440x900,button,small,13,"rgb(169,175,180)","rgb(168,174,179)",1.01,3.0,FAIL,34,34,FAIL
page-h1,h1,/about/,n/a,1440x900,heading,large,42,"rgb(216,208,195)","rgb(25,27,31)",11.27,3.0,PASS,N/A,N/A,N/A
body-text,p,/about/,n/a,1440x900,text,body,11,"rgb(121,126,131)","rgb(17,18,21)",4.57,4.5,PASS,N/A,N/A,N/A
article-link,article a,/about/,n/a,1440x900,link,body,16,"rgb(201,160,96)","rgb(64,51,31)",5.07,3.0,PASS,108,21,FAIL
page-button,button,/about/,n/a,1440x900,button,small,13,"rgb(169,175,180)","rgb(168,174,179)",1.01,3.0,FAIL,34,34,FAIL
page-h1,h1,/projects/,n/a,1440x900,heading,large,64,"rgb(216,208,195)","rgb(11,9,5)",13.01,3.0,PASS,N/A,N/A,N/A
page-h2,h2,/projects/,n/a,1440x900,heading,large,42,"rgb(216,208,195)","rgb(34,32,26)",10.65,3.0,PASS,N/A,N/A,N/A
body-text,p,/projects/,n/a,1440x900,text,body,20,"rgb(189,181,170)","rgb(12,10,6)",9.75,4.5,PASS,N/A,N/A,N/A
subnav-link,.subnav-link,/projects/,n/a,1440x900,interactive,small,13,"rgb(223,229,236)","rgb(9,6,4)",15.93,3.0,PASS,107,29,FAIL
subnav-label,.subnav-label,/projects/,n/a,1440x900,text,small,13,"rgb(223,229,236)","rgb(9,6,4)",15.93,4.5,PASS,N/A,N/A,N/A
article-link,article a,/projects/,n/a,1440x900,link,body,12,"rgb(230,190,114)","rgb(9,7,5)",11.47,3.0,PASS,208,21,FAIL
page-button,button,/projects/,n/a,1440x900,button,small,13,"rgb(169,175,180)","rgb(168,174,179)",1.01,3.0,FAIL,34,34,FAIL
page-h1,h1,/graveyard/,n/a,1440x900,heading,large,64,"rgb(216,208,195)","rgb(51,57,62)",7.65,3.0,PASS,N/A,N/A,N/A
page-h2,h2,/graveyard/,n/a,1440x900,heading,large,42,"rgb(216,208,195)","rgb(15,16,20)",12.43,3.0,PASS,N/A,N/A,N/A
body-text,p,/graveyard/,n/a,1440x900,text,body,20,"rgb(189,181,170)","rgb(127,123,116)",2.08,4.5,FAIL,N/A,N/A,N/A
subnav-link,.subnav-link,/graveyard/,n/a,1440x900,interactive,small,13,"rgb(169,175,180)","rgb(9,7,7)",9.07,3.0,PASS,107,29,FAIL
subnav-label,.subnav-label,/graveyard/,n/a,1440x900,text,small,13,"rgb(169,175,180)","rgb(9,7,7)",9.07,4.5,PASS,N/A,N/A,N/A
article-link,article a,/graveyard/,n/a,1440x900,link,body,12,"rgb(141,133,121)","rgb(30,29,28)",4.62,3.0,PASS,144,21,FAIL
page-button,button,/graveyard/,n/a,1440x900,button,small,13,"rgb(169,175,180)","rgb(168,174,179)",1.01,3.0,FAIL,34,34,FAIL
page-h1,h1,/behind-the-build/,n/a,1440x900,heading,large,64,"rgb(216,208,195)","rgb(48,47,47)",8.73,3.0,PASS,N/A,N/A,N/A
page-h2,h2,/behind-the-build/,n/a,1440x900,heading,large,24,"rgb(216,208,195)","rgb(216,208,195)",1.00,3.0,FAIL,N/A,N/A,N/A
body-text,p,/behind-the-build/,n/a,1440x900,text,body,11,"rgb(169,175,180)","rgb(12,12,11)",8.83,4.5,PASS,N/A,N/A,N/A
